ID,Description,ObjCount,ObjAttr,OORel,OARel,Difficulty,Category,SceneEvalID,is_house
0,"A bedroom with a bed, two nightstands, and a wardrobe in the corner of the room.","eq,1,bed; eq,2,nightstand; eq,1,wardrobe",,,"eq,1,corner,wardrobe,room",easy,SceneEval-100,0,FALSE
1,A bedroom with a bed and a wardrobe.,"eq,1,bed; eq,1,wardrobe",,,,easy,SceneEval-100,1,FALSE
2,"A bedroom with a king-size bed in the corner of the room, two large blue armchairs, and a floor lamp near a armchair.","eq,1,bed; eq,2,armchair; eq,1,floor_lamp","eq,1,bed,king_size; eq,2,armchair,large; eq,2,armchair,blue","eq,1,near,0,armchair,floor_lamp","eq,1,corner,bed,room",easy,SceneEval-100,2,FALSE
3,"A bedroom with a double bed and a mini fridge near the bed, a table across from the door, and a painting on the wall above the bed.","eq,1,bed; eq,1,fridge; eq,1,table; eq,1,painting","eq,1,bed,double; eq,1,fridge,mini","eq,1,near,0,bed,fridge; eq,1,above,0,bed,painting","eq,1,across,table,door; eq,1,on,painting,wall",easy,SceneEval-100,3,FALSE
4,"A bedroom with two bunk beds in the corners of the room, a desk placed against the wall far from the door, and a light hanging from the ceiling in the center of the room.","eq,2,bed; eq,1,desk; eq,1,light","eq,2,bed,bunk",,"eq,2,corner,bed,room; eq,1,hang,light,ceiling; eq,1,center,light,room; eq,1,against,desk,wall; eq,1,far,desk,door",easy,SceneEval-100,4,FALSE
5,"A simple bedroom featuring a twin bed against the wall, with a wardrobe positioned in the corner of the room, and a desk next to the window.","eq,1,bed; eq,1,wardrobe; eq,1,desk","eq,1,bed,twin",,"eq,1,against,bed,wall; eq,1,corner,wardrobe,room; eq,1,next,desk,window",easy,SceneEval-100,5,FALSE
6,"A minimal bedroom with a queen bed against the wall, flanked by two nightstands on each side.","eq,1,bed; eq,2,nightstand","eq,1,bed,queen","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand","eq,1,against,bed,wall",easy,SceneEval-100,6,FALSE
7,"A living room with a TV, sofa, and bookshelf. There is no coffee table in the room.","eq,1,TV; eq,1,sofa; eq,1,bookshelf; eq,0,coffee_table",,,,easy,SceneEval-100,7,FALSE
8,"A living room with a TV, sofa, bookshelf, and coffee table.","eq,1,TV; eq,1,sofa; eq,1,bookshelf; eq,1,coffee_table",,,,easy,SceneEval-100,8,FALSE
9,"A living room with a sofa in front of a wall-mounted TV, a lamp behind the sofa, and a stool near the TV against the wall.","eq,1,sofa; eq,1,TV; eq,1,lamp; eq,1,stool","eq,1,TV,wall_mounted","eq,1,front,0,sofa,TV; eq,1,face,0,TV,sofa; eq,1,behind,0,sofa,lamp; eq,1,near,0,TV,stool","eq,1,on,TV,wall; eq,1,corner,sofa,room; eq,1,against,stool,wall ",easy,SceneEval-100,9,FALSE
